,perc_read,FASTREAD,NBM,SVM,DT
0,0,1.52,9.09,24.24,15.15
1,1,3.03,9.09,28.79,30.3
2,2,3.03,10.61,33.33,36.36
3,3,4.55,12.12,36.36,36.36
4,4,16.67,12.12,39.39,37.88
5,5,24.24,13.64,39.39,37.88
6,6,30.3,13.64,40.91,39.39
7,7,43.94,13.64,45.45,39.39
8,8,50.0,16.67,48.48,39.39
9,9,56.06,18.18,51.52,40.91
10,10,57.58,19.7,54.55,42.42
11,11,59.09,22.73,57.58,42.42
12,12,62.12,24.24,57.58,43.94
13,13,63.64,24.24,57.58,45.45
14,14,68.18,24.24,57.58,45.45
15,15,68.18,24.24,59.09,46.97
16,16,69.7,24.24,62.12,46.97
17,17,72.73,25.76,63.64,48.48
18,18,74.24,25.76,63.64,48.48
19,19,74.24,28.79,63.64,48.48
20,20,75.76,31.82,65.15,48.48
21,21,77.27,31.82,65.15,50.0
22,22,80.3,33.33,65.15,50.0
23,23,80.3,36.36,66.67,50.0
24,24,83.33,37.88,68.18,53.03
25,25,84.85,37.88,71.21,56.06
26,26,86.36,39.39,74.24,57.58
27,27,86.36,39.39,75.76,57.58
28,28,87.88,42.42,78.79,59.09
29,29,87.88,42.42,80.3,59.09
30,30,87.88,43.94,80.3,59.09
31,31,87.88,43.94,80.3,60.61
32,32,87.88,43.94,80.3,60.61
33,33,87.88,43.94,80.3,60.61
34,34,89.39,45.45,80.3,60.61
35,35,89.39,45.45,80.3,62.12
36,36,90.91,45.45,80.3,62.12
37,37,93.94,45.45,80.3,62.12
38,38,,46.97,80.3,62.12
39,39,,50.0,80.3,63.64
40,40,,50.0,80.3,65.15
41,41,,54.55,80.3,66.67
42,42,,54.55,80.3,68.18
43,43,,54.55,80.3,68.18
44,44,,54.55,80.3,68.18
45,45,,54.55,81.82,68.18
46,46,,54.55,81.82,68.18
47,47,,54.55,83.33,68.18
48,48,,56.06,84.85,68.18
49,49,,56.06,86.36,69.7
50,50,,57.58,86.36,69.7
51,51,,57.58,86.36,69.7
52,52,,59.09,86.36,69.7
53,53,,59.09,87.88,69.7
54,54,,59.09,89.39,69.7
55,55,,60.61,89.39,69.7
56,56,,60.61,89.39,69.7
57,57,,63.64,89.39,71.21
58,58,,63.64,90.91,72.73
59,59,,66.67,90.91,72.73
60,60,,66.67,90.91,74.24
61,61,,66.67,90.91,74.24
62,62,,66.67,90.91,74.24
63,63,,68.18,90.91,75.76
64,64,,68.18,90.91,75.76
65,65,,69.7,90.91,75.76
66,66,,74.24,92.42,78.79
67,67,,74.24,92.42,81.82
68,68,,74.24,92.42,81.82
69,69,,74.24,92.42,81.82
70,70,,74.24,93.94,81.82
71,71,,74.24,,81.82
72,72,,75.76,,83.33
73,73,,75.76,,83.33
74,74,,75.76,,83.33
75,75,,75.76,,83.33
76,76,,77.27,,83.33
77,77,,77.27,,83.33
78,78,,77.27,,84.85
79,79,,77.27,,87.88
80,80,,80.3,,89.39
81,81,,83.33,,90.91
82,82,,84.85,,92.42
83,83,,84.85,,92.42
84,84,,86.36,,92.42
85,85,,86.36,,93.94
86,86,,86.36,,93.94
87,87,,86.36,,93.94
88,88,,87.88,,93.94
89,89,,89.39,,93.94
90,90,,90.91,,93.94
91,91,,92.42,,96.97
92,92,,92.42,,
93,93,,92.42,,
94,94,,92.42,,
95,95,,93.94,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
