,perc_read,FASTREAD,estimate
0,0,2.29,362.6
1,1,12.98,35.11
2,2,35.11,53.44
3,3,43.51,70.23
4,4,46.56,70.99
5,5,50.38,72.52
6,6,55.73,80.92
7,7,58.02,76.34
8,8,59.54,78.63
9,9,60.31,79.39
10,10,61.07,77.1
11,11,61.07,76.34
12,12,61.83,78.63
13,13,64.12,79.39
14,14,65.65,80.15
15,15,66.41,82.44
16,16,69.47,83.97
17,17,71.76,87.02
18,18,74.05,87.02
19,19,74.05,87.02
20,20,74.81,87.79
21,21,74.81,87.02
22,22,77.86,90.08
23,23,78.63,92.37
24,24,78.63,91.6
25,25,78.63,90.08
26,26,79.39,91.6
27,27,80.15,90.08
28,28,82.44,92.37
29,29,82.44,92.37
30,30,83.21,92.37
31,31,83.21,92.37
32,32,83.97,93.13
33,33,84.73,93.13
34,34,86.26,93.13
35,35,86.26,96.18
36,36,86.26,96.18
37,37,86.26,96.18
38,38,86.26,95.42
39,39,86.26,96.95
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
