,perc_read,FASTREAD,SVM
0,0,14.84,17.58
1,1,34.38,41.8
2,2,51.95,60.55
3,3,61.33,70.7
4,4,71.09,71.48
5,5,76.17,73.83
6,6,79.3,74.61
7,7,80.47,74.61
8,8,83.59,75.0
9,9,84.38,76.17
10,10,86.72,77.73
11,11,87.89,81.25
12,12,87.89,81.25
13,13,89.06,81.25
14,14,90.62,81.25
15,15,92.19,81.25
16,16,93.75,81.25
17,17,94.14,81.25
18,18,94.14,81.25
19,19,95.31,81.25
20,20,,81.25
21,21,,81.25
22,22,,81.25
23,23,,81.25
24,24,,81.25
25,25,,81.25
26,26,,81.25
27,27,,81.25
28,28,,81.25
29,29,,82.42
30,30,,84.38
31,31,,85.55
32,32,,86.33
33,33,,87.89
34,34,,88.67
35,35,,88.67
36,36,,89.84
37,37,,91.02
38,38,,91.8
39,39,,92.58
40,40,,92.58
41,41,,92.58
42,42,,92.58
43,43,,92.58
44,44,,92.58
45,45,,92.58
46,46,,92.58
47,47,,92.58
48,48,,92.58
49,49,,92.58
50,50,,92.58
51,51,,92.58
52,52,,92.58
53,53,,92.97
54,54,,92.97
55,55,,92.97
56,56,,92.97
57,57,,92.97
58,58,,92.97
59,59,,92.97
60,60,,92.97
61,61,,92.97
62,62,,92.97
63,63,,92.97
64,64,,92.97
65,65,,92.97
66,66,,92.97
67,67,,92.97
68,68,,92.97
69,69,,92.97
70,70,,93.36
71,71,,93.36
72,72,,93.36
73,73,,93.36
74,74,,93.36
75,75,,93.36
76,76,,93.75
77,77,,93.75
78,78,,93.75
79,79,,93.75
80,80,,93.75
81,81,,94.14
82,82,,94.14
83,83,,94.53
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
